#k-distance eigenvalue[eV]
5.06605599 -105.63380000
5.09199377 -105.63380000
5.11793155 -105.63380000
5.14386934 -105.63390000
5.16980712 -105.63390000
5.19574488 -105.63390000
5.22168266 -105.63400000
5.24762044 -105.63410000
5.27355822 -105.63410000
5.29949598 -105.63410000
5.32543376 -105.63400000
5.35137154 -105.63400000
5.37730933 -105.63390000
5.40324711 -105.63380000
5.42918487 -105.63370000
5.45512265 -105.63370000
5.48106043 -105.63360000
5.50699821 -105.63350000
5.53293600 -105.63340000
5.55887375 -105.63330000
5.58481154 -105.63320000
5.61074932 -105.63310000
5.63668710 -105.63310000
5.66262486 -105.63300000
5.68856264 -105.63290000
5.71450042 -105.63280000
5.74043821 -105.63270000
5.76637599 -105.63260000
5.79231375 -105.63260000
5.81825153 -105.63250000
5.84418931 -105.63240000
5.87012709 -105.63240000
5.89606487 -105.63230000
5.92200263 -105.63220000
5.94794041 -105.63220000
5.97387820 -105.63210000
5.99981598 -105.63210000
6.02575374 -105.63200000
6.05169152 -105.63200000
6.07762930 -105.63200000
6.10356708 -105.63190000
6.12950487 -105.63190000
6.15544262 -105.63190000
6.18138041 -105.63190000
6.20731819 -105.63190000
6.20731819 -105.63400000
6.23650918 -105.63400000
6.26570016 -105.63400000
6.29489115 -105.63400000
6.32408214 -105.63400000
6.35327313 -105.63400000
6.38246411 -105.63400000
6.41165511 -105.63400000
6.44084609 -105.63400000
6.47003708 -105.63400000
6.49922807 -105.63400000
6.52841906 -105.63400000
6.52841906 -105.63380000
6.55761005 -105.63380000
6.58680103 -105.63380000
6.61599202 -105.63380000
6.64518301 -105.63380000
6.67437400 -105.63380000
6.70356498 -105.63380000
6.73275597 -105.63380000
6.76194696 -105.63380000
6.79113795 -105.63380000
6.82032893 -105.63380000
6.84951993 -105.63380000

0.00000000 -105.63140000
0.02612172 -105.63150000
0.05224343 -105.63150000
0.07836515 -105.63150000
0.10448686 -105.63150000
0.13060858 -105.63150000
0.15673028 -105.63150000
0.18285201 -105.63160000
0.20897371 -105.63160000
0.23509543 -105.63160000
0.26121714 -105.63170000
0.28733886 -105.63180000
0.31346057 -105.63180000
0.33958229 -105.63190000
0.36570400 -105.63200000
0.39182572 -105.63200000
0.41794742 -105.63210000
0.44406915 -105.63220000
0.47019085 -105.63230000
0.49631257 -105.63240000
0.52243428 -105.63250000
0.54855600 -105.63260000
0.57467771 -105.63270000
0.60079943 -105.63280000
0.62692113 -105.63290000
0.65304286 -105.63300000
0.67916456 -105.63310000
0.70528629 -105.63320000
0.73140799 -105.63330000
0.75752971 -105.63340000
0.78365142 -105.63350000
